id,variant,price,pricetype,firstreg,km,hk,seller,region,facelift
6655644,"1.0 SCTi 125 Titanium stc",89900,Retail,8/2018,177000,125,Forhandler,Syd- og Vestsjælland,1
6780078,"1.0 SCTi 125 Titanium stc ECO",54900,Retail,9/2014,172000,125,Forhandler,Østjylland,0
6859693,"1.0 SCTi 125 Titanium stc ECO",44700,Retail,7/2013,179000,125,Forhandler,Nordjylland,0
6864715,"1.0 SCTi 125 Titanium stc",71900,Retail,9/2015,109000,125,Forhandler,Syd- og Vestsjælland,1
6870497,"1.6 Ti-VCT 125 Titanium stc aut",57900,Retail,5/2013,142000,125,Forhandler,Nordjylland,0
6879892,"1.5 SCTi 150 Titanium stc",99900,Retail,6/2017,148000,150,Forhandler,Syd- og Sønderjylland,1
6913154,"1.0 SCTi 125 Titanium stc",74900,Retail,7/2018,169000,125,Forhandler,Østjylland,1
6919484,"1.0 SCTi 125 Titanium stc ECO",39900,Retail,11/2013,242000,125,Forhandler,Syd- og Sønderjylland,0
6938839,"1.0 SCTi 125 Titanium stc",89900,Retail,4/2018,115000,125,Forhandler,Nordjylland,1
6944979,"1.6 SCTi 182 Titanium stc",45000,Retail,9/2011,230000,182,Privat,Fyn,0
6952123,"1.0 SCTi 125 Titanium stc",72000,Retail,6/2017,109500,125,Forhandler,Østjylland,1
6953404,"1.0 SCTi 100 Titanium stc",39900,Retail,3/2016,209000,100,Forhandler,Østjylland,1
6955205,"1.0 SCTi 125 Titanium stc",69900,Retail,11/2017,144000,125,Forhandler,Østjylland,1
6960082,"1.0 SCTi 125 Titanium stc",64800,Retail,3/2017,176000,125,Forhandler,Nordjylland,1
6965920,"1.0 SCTi 125 Titanium stc",64800,Retail,2/2018,194000,125,Forhandler,Syd- og Sønderjylland,1
6967276,"1.0 SCTi 125 Titanium Fun stc",75900,Retail,4/2017,117000,125,Forhandler,Østjylland,1
6968845,"1.0 SCTi 125 Titanium stc",69900,Retail,7/2017,147000,125,Forhandler,Østjylland,1
6971169,"1.0 SCTi 125 Titanium stc",49900,Retail,12/2014,225799,125,Forhandler,Nordjylland,1
6975560,"1.0 SCTi 100 Titanium stc",52400,Retail,12/2014,190000,100,Forhandler,Østjylland,1
6977537,"1.0 SCTi 125 Titanium stc",74900,Retail,6/2017,141000,125,Forhandler,Nordsjælland,1
6979886,"1.0 SCTi 100 Titanium stc",37990,Retail,5/2015,210000,100,Forhandler,København,1
6980626,"1.0 SCTi 125 Titanium stc ECO",26995,Wholesale,11/2013,254000,125,Forhandler,Østjylland,0
6981634,"1.0 SCTi 125 Titanium stc ECO",29900,Retail,4/2013,298000,125,Forhandler,Østjylland,0
6982544,"1.0 SCTi 125 Titanium Fun stc",72400,Retail,7/2018,115000,125,Privat,Østjylland,1
6982864,"1.0 SCTi 125 Titanium stc",84900,Retail,4/2018,164000,125,Privat,Fyn,1
6984909,"1.0 SCTi 125 Titanium stc",59000,Retail,12/2016,141000,125,Privat,København,1
6985172,"1.6 SCTi 150 Titanium stc",34900,Retail,6/2013,194000,150,Forhandler,København,0
6985175,"1.0 SCTi 125 Titanium stc ECO",39900,Retail,6/2014,199000,125,Forhandler,København,0
6986741,"1.0 SCTi 125 Titanium stc",57500,Retail,11/2016,136000,125,Privat,Syd- og Sønderjylland,1
6987110,"1.0 SCTi 125 Titanium stc",39990,Retail,1/2015,209000,125,Forhandler,Syd- og Vestsjælland,1
