id,variant,price,pricetype,firstreg,km,fuel,towkg,seller,region
6898846,"1.0 SCTi 125 Business stc",72900,Retail,6/2016,95000,Benzin,1200,Forhandler,København
6879892,"1.5 SCTi 150 Titanium stc",99900,Retail,6/2017,148000,Benzin,1500,Forhandler,Syd- og Sønderjylland
6854099,"1.0 SCTi 125 Titanium stc ECO",29500,Retail,2/2013,252000,Benzin,1200,Forhandler,Østjylland
6975560,"1.0 SCTi 100 Titanium stc",52400,Retail,12/2014,190000,Benzin,1000,Forhandler,Østjylland
6965284,"1.5 TDCi 105 Business stc ECO",34995,Wholesale,9/2015,252000,Diesel,400,Forhandler,Østjylland
6948379,"1.5 SCTi 150 Titanium stc",39900,Retail,9/2016,272000,Benzin,1500,Forhandler,Østjylland
6964357,"1.0 SCTi 125 Business stc",69700,Retail,1/2015,152000,Benzin,1200,Forhandler,Nordjylland
6374065,"1.6 Trend Collection stc",44900,Retail,1/2010,187000,Benzin,1200,Forhandler,København
6919484,"1.0 SCTi 125 Titanium stc ECO",39900,Retail,11/2013,242000,Benzin,1200,Forhandler,Syd- og Sønderjylland
6970006,"1.5 TDCi 95 Trend stc",39700,Retail,3/2016,313000,Diesel,1200,Forhandler,Nordjylland
6919454,"1.0 SCTi 125 Trend stc",34900,Retail,9/2015,250000,Benzin,1200,Forhandler,Østjylland
6976429,"1.0 SCTi 125 Edition stc",54900,Retail,5/2015,168000,Benzin,1200,Privat,Syd- og Vestsjælland
6975476,"1.0 SCTi 125 Titanium stc",54990,Retail,4/2015,188000,Benzin,1200,Forhandler,Syd- og Vestsjælland
6973347,"1.6 TDCi 109 Trend stc",22000,Retail,7/2011,288000,Diesel,1300,Privat,Syd- og Vestsjælland
6972527,"1.0 SCTi 125 Edition stc ECO",44900,Retail,5/2013,187000,Benzin,1200,Forhandler,Syd- og Vestsjælland
6971169,"1.0 SCTi 125 Titanium stc",49900,Retail,12/2014,225799,Benzin,1200,Forhandler,Nordjylland
6970887,"1.6 TDCi 109 Trend stc",7500,Retail,11/2010,307000,Diesel,1300,Privat,København
6944979,"1.6 SCTi 182 Titanium stc",50000,Retail,9/2011,230000,Benzin,1500,Privat,Fyn
6966589,"1.6 TDCi 109 Style+ stc",9800,Wholesale,11/2010,361000,Diesel,1300,Forhandler,Syd- og Vestsjælland
6965491,"1.0 SCTi 100 Edition stc ECO",49500,Wholesale,7/2014,151500,Benzin,1000,Forhandler,Østjylland
6964634,"1.0 SCTi 100 Trend stc ECO",29800,Retail,11/2012,185000,Benzin,1000,Forhandler,Østjylland
6845719,"1.0 SCTi 125 Trend stc",59800,Retail,5/2015,175000,Benzin,1200,Forhandler,København
6964424,"1.0 SCTi 125 Business stc",62900,Retail,6/2016,155000,Benzin,1200,Forhandler,Fyn
6870497,"1.6 Ti-VCT 125 Titanium stc aut",57900,Retail,5/2013,142000,Benzin,1000,Forhandler,Nordjylland
6962532,"1.0 SCTi 125 Edition stc ECO",32900,Retail,11/2014,251000,Benzin,1200,Forhandler,København
6864715,"1.0 SCTi 125 Titanium stc",71900,Retail,9/2015,109000,Benzin,1200,Forhandler,Syd- og Vestsjælland
6960497,"1.6 TDCi 109 Titanium stc",28900,Retail,3/2008,225000,Diesel,1300,Forhandler,København
6959815,"1.0 SCTi 125 Business stc",49900,Retail,7/2015,234900,Benzin,1200,Forhandler,Nordjylland
6875741,"1.0 SCTi 125 Business stc",54700,Retail,5/2015,176000,Benzin,1200,Forhandler,Nordjylland
6953423,"1.6 TDCi 115 Titanium stc",34500,Wholesale,11/2014,272000,Diesel,1300,Forhandler,Østjylland
6953404,"1.0 SCTi 100 Titanium stc",42900,Retail,3/2016,209000,Benzin,1200,Forhandler,Østjylland
6873485,"1.6 TDCi 115 Titanium stc",59900,Retail,8/2015,185000,Diesel,1200,Forhandler,Østjylland
6800167,"1.5 TDCi 95 Titanium stc",49500,Retail,11/2015,211000,Diesel,1200,Forhandler,Østjylland
6859693,"1.0 SCTi 125 Titanium stc ECO",44700,Retail,7/2013,179000,Benzin,1200,Forhandler,Nordjylland
6840581,"1.6 TDCi 115 Titanium stc",34900,Retail,9/2011,275000,Diesel,1200,Forhandler,Østjylland
6916258,"1.0 SCTi 100 Edition stc ECO",39800,Retail,7/2014,179000,Benzin,1000,Forhandler,Nordjylland
6903445,"1.6 TDCi 95 Trend stc",49800,Retail,2/2013,167000,Diesel,1200,Forhandler,Syd- og Vestsjælland
6902620,"1.0 SCTi 100 Business stc",34500,Wholesale,3/2017,229000,Benzin,1200,Forhandler,Syd- og Vestsjælland
6780078,"1.0 SCTi 125 Titanium stc ECO",54900,Retail,9/2014,172000,Benzin,1200,Forhandler,Østjylland
6611471,"2.0 TDCi 150 Titanium stc aut",59400,Retail,4/2015,278000,Diesel,1800,Forhandler,Syd- og Sønderjylland
