id,variant,price,pricetype,firstreg,km,seller,region
6985175,"1.0 SCTi 125 Titanium stc ECO",39900,Retail,6/2014,199000,Forhandler,København
6975560,"1.0 SCTi 100 Titanium stc",52400,Retail,12/2014,190000,Forhandler,Østjylland
6975330,"1.0 EcoBoost Titanium stc",94990,Retail,6/2020,136000,Forhandler,København
6894816,"1.0 EcoBoost Titanium stc aut",121900,Retail,5/2020,125000,Forhandler,Østjylland
6883700,"1.0 EcoBoost mHEV Titanium X stc",129900,Retail,9/2020,90000,Forhandler,Syd- og Sønderjylland
6955205,"1.0 SCTi 125 Titanium stc",69900,Retail,11/2017,144000,Forhandler,Østjylland
6967817,"1.0 EcoBoost Titanium stc",109900,Retail,1/2019,112000,Forhandler,København
6981634,"1.0 SCTi 125 Titanium stc ECO",29900,Retail,4/2013,291000,Forhandler,Østjylland
6980626,"1.0 SCTi 125 Titanium stc ECO",27995,Wholesale,11/2013,254000,Forhandler,Østjylland
6953081,"1.0 EcoBoost mHEV Titanium stc",139800,Retail,12/2020,88000,Forhandler,Nordjylland
6919484,"1.0 SCTi 125 Titanium stc ECO",39900,Retail,11/2013,242000,Forhandler,Syd- og Sønderjylland
6918776,"1.0 EcoBoost mHEV Titanium Style stc",174900,Retail,9/2022,59000,Forhandler,Østjylland
6881528,"1.0 EcoBoost Titanium stc aut",159900,Retail,1/2022,78000,Forhandler,Østjylland
6899167,"1.0 EcoBoost Titanium stc",98000,Wholesale,6/2019,137000,Forhandler,Syd- og Vestsjælland
6977537,"1.0 SCTi 125 Titanium stc",74900,Retail,6/2017,141000,Forhandler,Nordsjælland
6984909,"1.0 SCTi 125 Titanium stc",59000,Retail,12/2016,141000,Privat,København
6967276,"1.0 SCTi 125 Titanium Fun stc",75900,Retail,4/2017,117000,Forhandler,Østjylland
6983783,"1.0 EcoBoost Titanium stc aut",119700,Retail,6/2020,101000,Forhandler,Fyn
6969770,"1.0 EcoBoost mHEV Titanium X stc",140000,Retail,8/2022,87000,Privat,København
6982864,"1.0 SCTi 125 Titanium stc",84900,Retail,4/2018,164000,Privat,Fyn
6982544,"1.0 SCTi 125 Titanium Fun stc",75499,Retail,7/2018,115000,Privat,Østjylland
6982499,"1.0 EcoBoost Titanium stc",37700,Retail,11/2018,275000,Forhandler,Vestjylland
6763327,"1.0 EcoBoost Titanium stc aut",119900,Retail,1/2019,117000,Forhandler,Syd- og Sønderjylland
6979369,"1.0 EcoBoost Titanium stc",114900,Retail,4/2019,109000,Forhandler,Østjylland
6978675,"1.0 EcoBoost Titanium stc",134900,Retail,6/2020,45000,Forhandler,Fyn
6975476,"1.0 SCTi 125 Titanium stc",54990,Retail,4/2015,188000,Forhandler,Syd- og Vestsjælland
6973461,"1.0 EcoBoost Titanium stc",89900,Retail,12/2018,124000,Forhandler,Østjylland
6971169,"1.0 SCTi 125 Titanium stc",49900,Retail,12/2014,225799,Forhandler,Nordjylland
6969032,"1.0 EcoBoost Titanium stc",89990,Retail,11/2018,150000,Forhandler,Syd- og Vestsjælland
6968845,"1.0 SCTi 125 Titanium stc",69900,Retail,7/2017,147000,Forhandler,Østjylland
6889287,"1.0 EcoBoost Titanium Business stc",77500,Wholesale,10/2018,165000,Forhandler,Syd- og Vestsjælland
6965920,"1.0 SCTi 125 Titanium stc",64800,Retail,2/2018,194000,Forhandler,Syd- og Sønderjylland
6964748,"1.0 EcoBoost Titanium stc",54900,Wholesale,8/2018,161000,Forhandler,Syd- og Sønderjylland
6883497,"1.0 SCTi 125 Titanium stc aut",72900,Retail,2/2017,144000,Forhandler,Nordjylland
6864715,"1.0 SCTi 125 Titanium stc",71900,Retail,9/2015,109000,Forhandler,Syd- og Vestsjælland
6960082,"1.0 SCTi 125 Titanium stc",64800,Retail,3/2017,176000,Forhandler,Nordjylland
6957011,"1.0 EcoBoost Titanium stc aut",119800,Retail,2/2020,117000,Forhandler,Nordjylland
6938187,"1.0 SCTi 125 Titanium stc",75000,Retail,8/2018,121000,Privat,Syd- og Vestsjælland
6953404,"1.0 SCTi 100 Titanium stc",42900,Retail,3/2016,209000,Forhandler,Østjylland
6952123,"1.0 SCTi 125 Titanium stc",72000,Retail,6/2017,109500,Forhandler,Østjylland
6948782,"1.0 EcoBoost Titanium stc aut",121900,Retail,6/2021,141000,Forhandler,Nordjylland
6859693,"1.0 SCTi 125 Titanium stc ECO",44700,Retail,7/2013,179000,Forhandler,Nordjylland
6940940,"1.0 EcoBoost Titanium stc aut",105000,Retail,7/2020,130000,Privat,Syd- og Vestsjælland
6938839,"1.0 SCTi 125 Titanium stc",89900,Retail,4/2018,115000,Forhandler,Nordjylland
6927002,"1.0 SCTi 125 Titanium+ stc",89900,Retail,8/2018,110000,Forhandler,Nordsjælland
6913154,"1.0 SCTi 125 Titanium stc",74900,Retail,7/2018,169000,Forhandler,Østjylland
6912059,"1.0 SCTi 125 Titanium Fun stc",74800,Retail,6/2018,169000,Forhandler,Syd- og Sønderjylland
6910073,"1.0 EcoBoost Titanium stc",114500,Retail,4/2019,120000,Forhandler,Syd- og Sønderjylland
6728884,"1.0 EcoBoost mHEV Titanium stc",139789,Retail,3/2021,111000,Forhandler,Syd- og Sønderjylland
6780078,"1.0 SCTi 125 Titanium stc ECO",54900,Retail,9/2014,172000,Forhandler,Østjylland
6655644,"1.0 SCTi 125 Titanium stc",89900,Retail,8/2018,177000,Forhandler,Syd- og Vestsjælland
