date;meter_reading_m3;forbrug_m3;type
2022-04-19;26174;;Levskift (supplier switch to NettoPower)
2022-04-30;26174;0;Ordinær
2022-12-31;28122;1795;Ekstraordinær
2023-04-30;29770;1527;Ordinær
2023-06-30;30264;459;Ordinær
2023-09-30;30775;475;Ordinær
2023-12-31;31691;852;Ordinær
2024-03-31;33073;1281;Ordinær
2024-06-30;33855;721;Ordinær
2024-09-30;34266;384;Ordinær
2024-12-31;35210;880;Ordinær
2025-03-31;36671;1365;Ordinær
2025-06-30;37244;538;Ordinær
2025-09-30;37768;493;Ordinær
2025-12-31;38679;855;Ordinær
2026-03-31;40350;1576;Ordinær
2026-06-30;41072;684;Ordinær
