period,el_kwh,el_dkk,gas_m3,gas_dkk,file
2022-11,537,1741.34,241,2804.41,2022-12.txt
2022-12,661,2617.25,363,5131.21,2023-01.txt
2023-01,629,1434.6,492,3874.73,2023-02.txt
2023-02,469,1150.23,492,7396.11,2023-03.txt
2023-03,520,1120.07,499,2814.51,2023-04.txt
2023-04,450,704.46,292,1578.95,2023-05.txt
2023-05,442,629.6,134,585.68,2023-06.txt
2023-06,416,708.45,66,295.91,2023-07.txt
2025-04,483,1153.48,248,1563.11,2025-05.txt
2025-05,438,995.69,169,1042.52,2025-06.txt
2025-06,344,787.63,92,586.44,2025-07.txt
2025-07,297,747.94,63,384.66,2025-08.txt
2025-08,355,871.0,74,443.0,2025-09.txt
2025-09,371,964.86,97,577.19,2025-10.txt
2025-10,550,1508.35,274,1669.28,2025-11.txt
2025-11,591,1712.89,403,2399.64,2025-12.txt
2025-12,761,2058.58,363,2490.36,2026-01.txt
2026-02,654,1340.37,522,3363.0,2026-03.txt
